Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,Track Quantity,Type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
F1000,Trendy Kid Hair Cut,WOMEN,1,0,200,260,0,999721,Nos,GST18,inclusive,0,service,HAIR CARE(FEMALE),,,,,,,
F1001,Hair Makeover,WOMEN,1,0,440,535,0,999721,Nos,GST18,inclusive,0,service,HAIR CARE(FEMALE),,,,,,,
F1002,Creative Hair cut (with shampoo.Conditioner&BlowStyling),WOMEN,1,0,950,1100,0,999721,Nos,GST18,inclusive,0,service,HAIRCUTS(FEMALE),,,,,,,
F1003,"Shampoo, Conditioning & Blast Dry (S)",WOMEN,1,0,295,330,0,999721,Nos,GST18,inclusive,0,service,SHAMPOO/CONDITIONING & STYLING(FEMALE),,,,,,,
F1004,"Shampoo, Conditioning & Blast Dry (M)",WOMEN,1,0,295,330,0,999721,Nos,GST18,inclusive,0,service,SHAMPOO/CONDITIONING & STYLING(FEMALE),,,,,,,
F1005,"Shampoo, Conditioning & Blast Dry (L)",WOMEN,1,0,390,450,0,999721,Nos,GST18,inclusive,0,service,SHAMPOO/CONDITIONING & STYLING(FEMALE),,,,,,,
F1006,Blow Style & Setting-(with Shampoo & Conditioner) (S),WOMEN,1,0,530,585,0,999721,Nos,GST18,inclusive,0,service,SHAMPOO/CONDITIONING & STYLING(FEMALE),,,,,,,
F1007,Blow Style & Setting-(with Shampoo & Conditioner) (M),WOMEN,1,0,630,585,0,999721,Nos,GST18,inclusive,0,service,SHAMPOO/CONDITIONING & STYLING(FEMALE),,,,,,,
F1008,Blow Style & Setting-(with Shampoo & Conditioner) (L),WOMEN,1,0,640,700,0,999721,Nos,GST18,inclusive,0,service,SHAMPOO/CONDITIONING & STYLING(FEMALE),,,,,,,
F1009,Ironing (S),WOMEN,1,0,800,900,0,999721,Nos,GST18,inclusive,0,service,ADVANCE STYLING(FEMALE),,,,,,,
F1010,Ironing (M),WOMEN,1,0,950,1050,0,999721,Nos,GST18,inclusive,0,service,ADVANCE STYLING(FEMALE),,,,,,,
F1011,Ironing (L),WOMEN,1,0,1150,1250,0,999721,Nos,GST18,inclusive,0,service,ADVANCE STYLING(FEMALE),,,,,,,
F1012,Roller Setting,WOMEN,1,0,1050,1200,0,999721,Nos,GST18,inclusive,0,service,ADVANCE STYLING(FEMALE),,,,,,,
F1013,Coconut Nourisher,WOMEN,1,0,520,595,0,999721,Nos,GST18,inclusive,0,service,HEAD MASSAGE(FEMALE),,,,,,,
F1014,Menthol Chiller,WOMEN,1,0,520,595,0,999721,Nos,GST18,inclusive,0,service,HEAD MASSAGE(FEMALE),,,,,,,
F1015,Almond Indulgence,WOMEN,1,0,550,630,0,999721,Nos,GST18,inclusive,0,service,HEAD MASSAGE(FEMALE),,,,,,,
F1016,Olive Bliss,WOMEN,1,0,550,630,0,999721,Nos,GST18,inclusive,0,service,HEAD MASSAGE(FEMALE),,,,,,,
F1017,Anti-Dandruff Treatment(S),WOMEN,1,0,110,1320,0,999721,Nos,GST18,inclusive,0,service,SCALP TREATMENTS(FEMALE),,,,,,,
F1018,Anti-Dandruff Treatment(M),WOMEN,1,0,1375,1650,0,999721,Nos,GST18,inclusive,0,service,SCALP TREATMENTS(FEMALE),,,,,,,
F1019,Anti-Dandruff Treatment(L),WOMEN,1,0,1650,1980,0,999721,Nos,GST18,inclusive,0,service,SCALP TREATMENTS(FEMALE),,,,,,,
F1020,Nutritive Plus Treatment Normal to Dull Hair (S),WOMEN,1,0,1000,1245,0,999721,Nos,GST18,inclusive,0,service,HAIR TREATMENTS(FEMALE),,,,,,,
F1021,Nutritive Plus Treatment Normal to Dull Hair (M),WOMEN,1,0,1200,1245,0,999721,Nos,GST18,inclusive,0,service,HAIR TREATMENTS(FEMALE),,,,,,,
F1022,Nutritive Plus Treatment Normal to Dull Hair (L),WOMEN,1,0,1450,1695,0,999721,Nos,GST18,inclusive,0,service,HAIR TREATMENTS(FEMALE),,,,,,,
F1023,Absolut Repair Plus Treatment Dry to Damaged Hair(S),WOMEN,1,0,1000,1245,0,999721,Nos,GST18,inclusive,0,service,HAIR TREATMENTS(FEMALE),,,,,,,
