Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
M20001,Hair cut  ,MEN,1,0,260,300,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20002,Shave,MEN,1,0,100,120,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20003,Advance - Hair cut,MEN,1,0,300,350,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20004,Beard Trim,MEN,1,0,100,120,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20005,Beard Styling,MEN,1,0,140,160,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20006,Head shave,MEN,1,0,250,300,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20007,Trendy Kiddy   (below 10 years ),MEN,1,0,150,170,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20008,moustache colouring,MEN,1,0,130,150,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20009,Beard colouring ,MEN,1,0,300,350,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20010,Global  hair colouring,MEN,1,0,850,950,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20011,Moustache colouring,MEN,1,0,150,180,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20012,Beard colouring ,MEN,1,0,400,450,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20013,Premium Hair colouring,MEN,1,0,950,1050,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20014,Streaks-per Streaks,MEN,1,0,250,300,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20015,Advance Streaks-per streaks,MEN,1,0,300,350,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20016,Global  Streaks,MEN,1,0,2000,2200,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20017,Premium Smoothening,MEN,1,0,5340,6330,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20018,Premium Straightening / ,MEN,1,0,4340,5330,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20019,Menthol chiller,MEN,1,0,330,375,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20020,coconut nourisher,MEN,1,0,330,375,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20021,Almond indulgence,MEN,1,0,400,450,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20022,Olive Bliss,MEN,1,0,400,450,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20023,Hair spa,MEN,1,0,795,955,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20024,Deep conditioning oil spa,MEN,1,0,955,1155,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20025,Anti-Hairfall Treatment,MEN,1,0,1100,1300,0,,Nos,GST18,inclusive,0,service,SCALP TREATMENTS,,,,,,,
M20026,Anti-Dandruff Treatment,MEN,1,0,1100,1300,0,,Nos,GST18,inclusive,0,service,SCALP TREATMENTS,,,,,,,
M20027,Nutritive plus treatment-Normal to Dull Hair,MEN,1,0,950,1100,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
M20028,Peptide Nourishing treatment-Dry to damaged Hair,MEN,1,0,950,1100,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
M20029,Intense smoothening treatment,MEN,1,0,950,1100,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
M20030,Colour Radiance Treatment,MEN,1,0,950,1100,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
