id,code,name,unit,cost,rate,price,WPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15132502947008,BLUE I  AUXCABLE1.5MM,1,37,37,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15132502947018,BLUE I ECONOMY  CHAMP,1,57,48,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15132502947027,TEMPER GLASS 1+1TG,3,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15132502947036,POUCH 1+3dottedpouch,1,35,35,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15132502947044,TEMPER GLASS 1+3TG,1,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15132502947053,POUCH 1+5HAPPYANT,1,40,40,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15132502947062,SYSKA POWER BANK100 10000MAH,1,970,970,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15132502947071,BIG EYE POWER BANK 10000MAHBEPB02,1,850,850,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1513250294708,SAMSUNG FM PLUS 110,1,1325,NULL,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15132502947088,SAMSUNG GURU B1200,1,1075,NULL,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15132502947097,BLUE I POWER BANK 13000MAHEB10,1,920,920,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15132502947106,BLUE I 15000MAHPB15,1,1250,1250,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15132502947115,REDMI 4 16GB+2GB,1,0,NULL,7499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15132502947124,SAMSUNG 16GBEVO48MPBS,1,380,NULL,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15132502947133,SONY 16GBMETALBODYPENDRIVE,1,490,490,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15132502947143,JOY 16GBMMC,1,330,330,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15132502947151,SANDISK 16GBPENDRIVE,1,340,380,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1513250294716,SAMSUNG 16GBSMARTCHOICEMMC,1,484,410,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,15132502947169,UNIX CHARGER 2.1AUX102,1,180,180,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,15132502947178,PHONOKART 2.4AMPDATACABLE,1,153.4,130,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15132502947187,3G GOLD V8 DATA CABLE 2.4OUTPUT,1,120,120,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15132502947196,IBALL 2.4TTRIPLITE,1,1120,1000,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15132502947204,METAL CABLE 2IN1USB,1,200,200,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15132502947213,SAMSUNG 313,1,1950,1950,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,15132502947222,SANDISK 32GBMEMORYCARD,1,820,820,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15132502947232,SAN DISK 32GBPENDRIVE,1,700,NULL,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1513250294724,SONY 32GBPENDRIVEM,1,820,820,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15132502947249,IKALL 3310,1,564.9952,504.46,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,15132502947258,3G GOLD 5200 MAH 3G903,1,380,380,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15132502947267,REDMI 43GB+32GB,1,8159,7748.21,9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15132502947276,REDMI 44GB+64GB,1,10079,10330.36,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,15132502947285,JOY 4GBMEMORYCARD,1,250,250,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15132502947295,REDMI 4LISHENPOUCH,1,55,55,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
